"source"	"stage"	"term_name"	"adjusted_p_value"
"GO:BP"	"7dpf"	"cellular component organization or biogenesis"	0.0012991455197758
"GO:BP"	"7dpf"	"regulation of cellular component organization"	0.00154007505727122
"GO:BP"	"7dpf"	"cellular component organization"	0.00300663814822708
"GO:BP"	"7dpf"	"microtubule cytoskeleton organization"	0.00368246987581373
"GO:BP"	"7dpf"	"ameboidal-type cell migration"	0.00421684499404062
"GO:BP"	"7dpf"	"glycerolipid metabolic process"	0.00530623308509888
"GO:BP"	"7dpf"	"cytoskeleton organization"	0.00558455585647857
"GO:BP"	"7dpf"	"potassium ion transmembrane transport"	0.00563328736567823
"GO:BP"	"7dpf"	"epithelial tube morphogenesis"	0.00592743757224648
"GO:BP"	"7dpf"	"myeloid cell differentiation"	0.00592743757224648
"GO:BP"	"7dpf"	"nucleotide metabolic process"	0.00623393623405649
"GO:BP"	"7dpf"	"myeloid cell homeostasis"	0.00623393623405649
"GO:BP"	"7dpf"	"skeletal muscle tissue development"	0.00623393623405649
"GO:BP"	"7dpf"	"developmental growth involved in morphogenesis"	0.00725684282916942
"GO:BP"	"7dpf"	"organophosphate biosynthetic process"	0.00861195319951588
"GO:BP"	"7dpf"	"potassium ion transport"	0.00864089837553693
"GO:BP"	"7dpf"	"calcium ion transmembrane transport"	0.0092588761098916
"GO:BP"	"7dpf"	"erythrocyte homeostasis"	0.00955381246962393
"GO:BP"	"7dpf"	"RNA catabolic process"	0.00955381246962393
"GO:BP"	"7dpf"	"hindbrain development"	0.00955381246962393
"GO:BP"	"7dpf"	"protein complex oligomerization"	0.00955381246962393
"GO:BP"	"7dpf"	"erythrocyte differentiation"	0.00955381246962393
"GO:BP"	"7dpf"	"MAPK cascade"	0.00955381246962393
"GO:BP"	"7dpf"	"response to endogenous stimulus"	0.0107725759618626
"GO:BP"	"7dpf"	"regulation of transport"	0.012983366131671
"GO:BP"	"7dpf"	"purine ribonucleotide metabolic process"	0.0133911411245589
"GO:BP"	"7dpf"	"heart process"	0.0147320612619972
"GO:BP"	"7dpf"	"export from cell"	0.0152751628145386
"GO:BP"	"7dpf"	"heart contraction"	0.0169743377234831
"GO:BP"	"7dpf"	"neural retina development"	0.0169743377234831
"GO:BP"	"7dpf"	"somite development"	0.0169743377234831
"GO:BP"	"7dpf"	"regeneration"	0.017486082820243
"GO:BP"	"7dpf"	"mesenchyme development"	0.0197454352441839
