seqnames	start	end	width	strand	logFC	logCPM	F	PValue	FDR	gene_id
80289	16	16493551	16493700	150	*	5.1259533801098	-0.166428173905176	76.1931650479135	1.65648134973398e-15	1.28533659806272e-11	ENSACLG00000004561
80293	16	16494301	16494450	150	*	4.36915173899066	0.524264261030283	76.1476306228397	1.6269137623959e-15	1.28533659806272e-11	ENSACLG00000004561
214595	8	1329901	1330050	150	*	3.63235276786812	1.17357391397568	73.9137272437017	3.61008694674304e-15	2.25540669847359e-11	ENSACLG00000018243
134328	22	17551	17700	150	*	4.2320416772298	0.522236017827583	73.6748860490027	3.89407152144299e-15	2.36880469672031e-11	ENSACLG00000009917
214590	8	1329151	1329300	150	*	3.74823495234021	1.11357263526326	72.4453163156769	6.17791530219359e-15	3.44647691101488e-11	ENSACLG00000018243
214581	8	1327801	1327950	150	*	4.10737469006188	0.114370717645826	63.1747601793749	1.87039914995314e-13	4.41181353780478e-10	ENSACLG00000018243
154940	3	702601	702750	150	*	3.83591893576276	1.01291850590616	63.0792686660627	1.97665978312933e-13	4.61536082978394e-10	ENSACLG00000006191
80286	16	16493101	16493250	150	*	4.64722558740898	-0.334542781343047	62.1372558353288	2.77679380758615e-13	6.0554538016415e-10	ENSACLG00000004561
231092	LS419949.1	16501	16650	150	*	4.67344299631293	-0.463363281948828	59.7136918988672	6.91246296594259e-13	1.20140685284313e-09	ENSACLG00000027457
214594	8	1329751	1329900	150	*	3.16800891639937	1.17841220889575	58.5249964517551	1.12365310168033e-12	1.72014174621339e-09	ENSACLG00000018243
80285	16	16492951	16493100	150	*	4.15985029390478	-0.0977473861018972	58.250167332241	1.21728716751546e-12	1.79226539534101e-09	ENSACLG00000004561
80294	16	16494451	16494600	150	*	3.67030909122703	0.449551940184626	58.1240596562757	1.28961579300155e-12	1.88674055366235e-09	ENSACLG00000004561
154714	3	40651	40800	150	*	3.69233253656105	1.43333049616767	55.9864169857242	2.99922731496244e-12	3.68891686951004e-09	ENSACLG00000004831
80287	16	16493251	16493400	150	*	4.31895241468083	-0.381059163289971	55.9104711153805	3.14191679406785e-12	3.82252211727966e-09	ENSACLG00000004561
214580	8	1327651	1327800	150	*	3.98807667048232	-0.0552026504175347	55.1735405626393	4.02208128671421e-12	4.67204153806173e-09	ENSACLG00000018243
128181	20	14444101	14444250	150	*	3.71388080839789	0.916209288312586	55.1247622937868	4.19612541569557e-12	4.77816728493279e-09	ENSACLG00000005383
80288	16	16493401	16493550	150	*	3.55449884866283	0.278216859676833	53.0230851204621	9.40942647058701e-12	8.91419755773751e-09	ENSACLG00000004561
