seqnames	start	end	width	strand	logFC	logCPM	F	PValue	FDR	gene_id
162628	4	381151	381300	150	*	-2.88259813179499	1.55456078860035	57.3305242523836	1.73870375082942e-12	5.42218453260073e-08	ENSACLG00000014638
94499	18	283951	284100	150	*	-2.91876779772137	0.513558811063177	42.8465281813683	5.73569404407768e-10	3.98630312534241e-06	ENSACLG00000016197
127844	20	11827051	11827200	150	*	-3.17040387077	0.0187139665670718	42.8229737908196	5.8632756063663e-10	3.98630312534241e-06	ENSACLG00000001295
86533	17	8802301	8802450	150	*	-3.26562426118767	0.173586935962992	42.3313558373871	7.10661279383644e-10	4.09252157542927e-06	ENSACLG00000025303
110969	19	18940351	18940500	150	*	-3.53938504725572	-0.311095007305716	42.1701185678303	7.61290665879868e-10	4.09252157542927e-06	ENSACLG00000010056
95018	18	2257501	2257650	150	*	-2.47992009155383	1.2738048922893	41.3286503980528	1.08433079674135e-09	4.82022573679108e-06	ENSACLG00000023179
118402	2	21153901	21154050	150	*	-3.09378857805136	0.0852282385203979	41.1570331511158	1.160348590061e-09	4.96710850706147e-06	ENSACLG00000022781
170752	4	25285951	25286100	150	*	-3.10845843385747	0.0824008108826933	41.1547828697865	1.1581495642781e-09	4.96710850706147e-06	ENSACLG00000017003
33953	12	5176351	5176500	150	*	-3.11250327660764	0.152894787218276	40.930100873617	1.27611488334561e-09	5.17516077551586e-06	ENSACLG00000002920
28	1	135751	135900	150	*	-2.74079790996098	0.688607925492531	40.5259521786477	1.51777608058694e-09	5.65880779413412e-06	ENSACLG00000000006
89974	17	23294251	23294400	150	*	-3.35512096927251	-0.378462043007817	40.2009527045299	1.75764788191281e-09	6.34874010926085e-06	ENSACLG00000017548
176273	5	15100651	15100800	150	*	-2.56773167284095	0.943980996705114	39.703866244655	2.14204447425226e-09	7.17609734172759e-06	ENSACLG00000010908
160864	3	30483301	30483450	150	*	-3.08805400349315	0.157629891930369	39.5248547861329	2.31214690480408e-09	7.42321186417642e-06	ENSACLG00000003776
173034	5	671401	671550	150	*	-2.53729152513472	1.1287235068112	39.2377229569401	2.59594169613337e-09	8.15443912467689e-06	ENSACLG00000013278
68379	15	7953151	7953300	150	*	-3.08899145217377	-0.091401413473825	38.9753134623575	2.91409085832851e-09	8.86336071880924e-06	ENSACLG00000013262
94328	17	38960401	38960550	150	*	-2.57066356255934	0.767718454362231	37.9918612891898	4.45927830997376e-09	1.21270335950225e-05	ENSACLG00000014404
54498	13	30728251	30728400	150	*	-2.11130185071365	2.04111935567466	37.831638208364	4.7002031099136e-09	1.23047524986577e-05	ENSACLG00000004886
94496	18	282601	282750	150	*	-3.01753112245579	-0.0414077747970385	37.8421430654602	4.6919040024889e-09	1.23047524986577e-05	ENSACLG00000016181
217507	8	11289001	11289150	150	*	-2.99396882496364	-0.0635148803155794	37.5180198796782	5.4041240427295e-09	1.34323280157986e-05	ENSACLG00000004947
229812	9	33664951	33665100	150	*	-2.7873023914104	0.313272020844021	37.3771657415491	5.70584078850832e-09	1.4031390904149e-05	ENSACLG00000022903
173846	5	4567051	4567200	150	*	-2.2725888823033	1.47129167290752	37.0165075190973	6.69038366724518e-09	1.56215728055865e-05	ENSACLG00000018924
54096	13	29899501	29899650	150	*	-2.48928069940251	0.880881046379448	36.9764013386472	6.78270540185443e-09	1.56787661528187e-05	ENSACLG00000003145
140771	22	20068351	20068500	150	*	-2.27510234901258	1.42559533171829	36.855816332306	7.1652107876577e-09	1.61793765385577e-05	ENSACLG00000000493
31826	11	36008851	36009000	150	*	-3.27702656365236	-0.317008566564118	36.1304759360352	9.71552013868434e-09	1.88659000835481e-05	ENSACLG00000015359
124582	20	915301	915450	150	*	-2.4827570342385	0.799070103024735	35.6404069768893	1.20192952884161e-08	2.08898966938323e-05	ENSACLG00000008866
168743	4	17791201	17791350	150	*	-2.30505250968042	1.24944071025077	35.2415289539151	1.43070125273375e-08	2.36227171556734e-05	ENSACLG00000001972
152707	23	31587151	31587300	150	*	-2.03250974480704	2.11502634035022	35.2166948682085	1.44224565487322e-08	2.36444412119989e-05	ENSACLG00000027019
134393	22	140701	140850	150	*	-2.83178300329586	0.110521193823015	35.1037605065309	1.51145050951811e-08	2.43902444464657e-05	ENSACLG00000009965
134393.1	22	140701	140850	150	*	-2.83178300329586	0.110521193823015	35.1037605065309	1.51145050951811e-08	2.43902444464657e-05	ENSACLG00000009970
162627	4	381001	381150	150	*	-2.52684192247215	0.641903563479408	35.0479681814335	1.55104557645872e-08	2.43902444464657e-05	ENSACLG00000014638
85815	17	4189201	4189350	150	*	-3.59484031911412	-0.72925682397778	35.0196015324311	1.57005701508854e-08	2.45223810468808e-05	ENSACLG00000021460
109434	19	15411001	15411150	150	*	-3.00573553614381	-0.225595331763349	34.6290984096007	1.85528132295398e-08	2.74912256443203e-05	ENSACLG00000000088
70279	15	12615001	12615150	150	*	-2.57965404317945	0.50349132647699	34.4850319538586	1.97777418243073e-08	2.84178240040541e-05	ENSACLG00000023751
59274	14	15847951	15848100	150	*	-2.56444662869685	0.503804817632981	34.4622966300637	2.01115184266513e-08	2.86285042935748e-05	ENSACLG00000016103
25392	11	18395851	18396000	150	*	-2.80725927120929	0.113549435766919	34.1429353946723	2.28939506021661e-08	3.20734535351243e-05	ENSACLG00000005356
131604	20	26476801	26476950	150	*	-1.84787150440626	2.94014649384968	34.0257929289549	2.4117815597128e-08	3.31846786773864e-05	ENSACLG00000025714
141345	22	22882201	22882350	150	*	-3.33469341632132	-0.728756535715412	33.9709255659524	2.49798408756841e-08	3.39664121008316e-05	ENSACLG00000003416
1206	1	8072101	8072250	150	*	-2.88975782766557	-0.0141422084221446	33.5741408175975	2.93388196096815e-08	3.76119905244378e-05	ENSACLG00000011896
140807	22	20157601	20157750	150	*	-3.01383845406213	-0.267356400046385	33.3807112466906	3.18705067048875e-08	3.98222842642615e-05	ENSACLG00000000633
54091	13	29898751	29898900	150	*	-3.03103161965483	-0.317842631481203	33.1128583476403	3.57988963212871e-08	4.28766905483735e-05	ENSACLG00000003145
34240	12	6032401	6032550	150	*	-2.86187580854838	-0.0882247613046985	33.0279204843248	3.7150498352142e-08	4.41245988623551e-05	ENSACLG00000004082
112260	19	21751951	21752100	150	*	-3.59050782351379	-0.873084130022714	33.035335142673	3.72225784016095e-08	4.41245988623551e-05	ENSACLG00000015855
19927	10	32997451	32997600	150	*	-2.97191583910312	-0.348980084412096	33.0209160246158	3.75867581166149e-08	4.43289787383697e-05	ENSACLG00000000666
127845	20	11827201	11827350	150	*	-2.66083961989286	0.121679998898266	32.777640217181	4.17851434830415e-08	4.75811339766153e-05	ENSACLG00000001295
128753	20	16546051	16546200	150	*	-3.29881122817124	-0.518208965837546	32.4236201284546	4.84542840815804e-08	5.17725242631729e-05	ENSACLG00000007506
205419	7	38006101	38006250	150	*	-2.72791114993681	0.0329552916273259	32.3668255458899	4.99926970270975e-08	5.22905513999539e-05	ENSACLG00000008924
170761	4	25292851	25293000	150	*	-2.60631270962148	0.314363033896566	32.2029846539661	5.32569478156047e-08	5.42324649478394e-05	ENSACLG00000017032
54288	13	30174151	30174300	150	*	-2.682107706204	0.109918687073392	32.055135846202	5.68369316463553e-08	5.73725390633545e-05	ENSACLG00000004075
195388	6	37485601	37485750	150	*	-2.22748893979466	1.10787637411844	31.9667246047227	6.00957974627391e-08	5.93431507333615e-05	ENSACLG00000014709
195388.1	6	37485601	37485750	150	*	-2.22748893979466	1.10787637411844	31.9667246047227	6.00957974627391e-08	5.93431507333615e-05	ENSACLG00000014721
224014	9	12065551	12065700	150	*	-2.16235232285834	1.24392149687271	31.9103106484124	6.08354103583944e-08	5.95872533373972e-05	ENSACLG00000019856
52191	13	20753101	20753250	150	*	-2.9524136329213	-0.366492601694591	31.7583839642538	6.48670036558816e-08	6.17172641298265e-05	ENSACLG00000023258
112255	19	21736951	21737100	150	*	-2.82619293692549	-0.068216141317251	31.7408678305647	6.55319684024435e-08	6.17172641298265e-05	ENSACLG00000015736
134497	22	546301	546450	150	*	-3.35455750053198	-0.787938181978125	31.4437032719128	7.46851721732462e-08	6.69150194931133e-05	ENSACLG00000010820
65658	15	546601	546750	150	*	-2.8300787598966	0.0418726315829393	31.3951665858405	7.61652182060242e-08	6.76521547307169e-05	ENSACLG00000023715
217508	8	11289151	11289300	150	*	-2.95027091459159	-0.408992076690505	31.2138594025757	8.2613912615345e-08	7.07291363419923e-05	ENSACLG00000004947
167573	4	14406451	14406600	150	*	-1.94317310374135	1.91431113584261	31.0561237053114	8.83149435555335e-08	7.34341932460792e-05	ENSACLG00000027700
230306	LS419794.1	451801	451950	150	*	-2.94175573969513	-0.468006748685453	31.0150174118343	9.07610561520186e-08	7.46624349394602e-05	ENSACLG00000005571
58026	14	10903801	10903950	150	*	-2.73274597559455	-0.0913857629378985	30.9133092434198	9.40296288264084e-08	7.70769536888472e-05	ENSACLG00000003651
7263	1	26290951	26291100	150	*	-2.39105150560894	0.550306184345685	30.8896096756135	9.55857610982201e-08	7.75277661892714e-05	ENSACLG00000012908
118401	2	21153751	21153900	150	*	-2.65980987026056	-0.0359502702994736	30.8747943260467	9.62163346461834e-08	7.77663478466519e-05	ENSACLG00000022781
125549	20	5032951	5033100	150	*	-1.79970562189577	2.57551107654246	30.7867958670147	9.94162371686037e-08	7.97946477479864e-05	ENSACLG00000015204
150560	23	21705601	21705750	150	*	-1.8236129575168	2.43314205136018	30.6535956058683	1.05270019744202e-07	8.24881600814583e-05	ENSACLG00000009238
173033	5	671251	671400	150	*	-2.23556634389278	0.948668221977074	30.6650307433434	1.04939751512926e-07	8.24881600814583e-05	ENSACLG00000013278
194873	6	34881001	34881150	150	*	-2.58638844054805	0.209785894098925	30.6605850474874	1.05115564063314e-07	8.24881600814583e-05	ENSACLG00000010465
150561	23	21705751	21705900	150	*	-1.86030280580368	2.17611644434264	30.6356184234174	1.0612048121901e-07	8.26920650352342e-05	ENSACLG00000009238
117212	2	10851151	10851300	150	*	-2.57135499983499	0.0649003303377185	30.5894510048533	1.09732748104143e-07	8.41207817406467e-05	ENSACLG00000016773
129538	20	20288551	20288700	150	*	-2.8250863612055	-0.169636177050358	30.557558560527	1.09900916627049e-07	8.41207817406467e-05	ENSACLG00000013983
20024	10	33879601	33879750	150	*	-3.06754977914704	-0.437311293172433	30.5231662469829	1.11551453632741e-07	8.51023462667893e-05	ENSACLG00000001968
17207	10	19670401	19670550	150	*	-2.83512530104078	-0.319234604163929	30.4902569027629	1.13654194028688e-07	8.58564581153056e-05	ENSACLG00000008511
22928	11	11353201	11353350	150	*	-1.85796675184031	2.28269666676612	30.2604303815635	1.25283876000211e-07	9.29007144025719e-05	ENSACLG00000019134
56066	14	4500001	4500150	150	*	-1.91189879599074	1.85897346646062	30.0416724085049	1.39002066159786e-07	0.000100410748779262	ENSACLG00000017298
93577	17	37383001	37383150	150	*	-2.52912970806638	0.226411929474195	29.9340337068029	1.44804448292138e-07	0.000102677014289307	ENSACLG00000009977
147755	23	9739951	9740100	150	*	-2.07507721255075	1.39282883960389	29.8247236031654	1.52002988526798e-07	0.000105515636101734	ENSACLG00000020132
136802	22	11224651	11224800	150	*	-1.76950947835815	2.55586838814031	29.5785371254084	1.69476308339761e-07	0.00011355305647305	ENSACLG00000007532
186142	6	4869901	4870050	150	*	-2.56907909011082	0.0233416018397431	29.4751722918603	1.78178435131388e-07	0.000117678202023147	ENSACLG00000010843
78091	16	10381351	10381500	150	*	-1.73214349540028	2.77468545213586	29.4202661111875	1.8310625004529e-07	0.000119905027048071	ENSACLG00000023470
78091.1	16	10381351	10381500	150	*	-1.73214349540028	2.77468545213586	29.4202661111875	1.8310625004529e-07	0.000119905027048071	ENSACLG00000023623
